,City,Cloudiness,Humidity,Latitude,Longitude,Temperature,Wind Speed
147,skibbereen,75,100,51.55,-9.27,48.2,10.29
148,ostrov,92,94,57.34,28.36,33.8,11.18
149,yumen,56,33,40.29,97.04,34.33,5.93
150,kamsack,1,66,51.56,-101.9,10.4,4.7
151,bucerias,5,54,20.76,-105.33,80.6,11.41
152,macenta,24,91,8.55,-9.47,71.81,1.9
153,nanakuli,90,83,21.39,-158.15,77.45,13.87
154,talnakh,8,52,69.49,88.39,-18.37,3.69
155,inirida,32,88,3.87,-67.92,80.99,2.46
156,henties bay,92,88,-22.12,14.28,71.0,8.05
157,zyryanka,0,81,65.73,150.89,19.7,6.6
158,bontang,0,100,0.12,117.47,79.55,3.36
159,namatanai,64,100,-3.66,152.44,80.63,3.58
160,tyn nad vltavou,0,70,49.22,14.42,38.74,6.04
161,caravelas,0,100,-17.73,-39.27,81.26,13.76
162,batagay,24,58,67.65,134.64,8.0,4.03
163,catia la mar,75,74,10.6,-67.03,82.4,4.7
164,bama,0,29,11.52,13.69,77.93,7.27
165,marica,75,94,-22.92,-42.82,78.91,6.93
166,nanortalik,48,100,60.14,-45.24,34.37,26.06
167,yar-sale,48,73,66.83,70.83,1.16,17.78
168,tirumullaivasal,0,94,11.24,79.84,79.96,6.26
169,kloulklubed,90,88,7.04,134.26,78.8,5.82
170,ormara,68,97,25.21,64.64,77.3,10.4
171,chiredzi,0,86,-21.05,31.67,67.58,3.02
172,nagato,20,87,34.35,131.14,55.4,2.24
173,broome,56,79,-17.97,122.23,86.0,9.17
174,shubarkuduk,0,73,49.15,56.49,31.58,13.76
175,constitucion,0,90,-35.33,-72.42,60.88,5.14
176,talegaon dabhade,0,78,18.74,73.75,66.91,5.82
177,morlaix,92,93,48.58,-3.83,51.8,24.16
178,sarakhs,0,70,36.54,61.16,48.2,4.7
179,whitehorse,75,35,60.72,-135.06,23.0,11.41
180,hilo,40,61,19.71,-155.08,73.38,12.75
181,yabassi,75,100,4.46,9.97,77.0,2.24
182,tura,64,66,64.27,100.22,9.89,4.92
183,kenitra,40,87,34.26,-6.57,55.4,2.24
184,pointe-noire,90,74,16.23,-61.79,80.6,6.93
185,pontiac,1,33,42.64,-83.29,41.0,5.82
186,ilulissat,0,67,69.22,-51.1,19.4,2.57
187,awjilah,0,46,29.14,21.3,61.78,5.59
188,almeirim,68,85,-1.53,-52.58,80.41,3.58
189,energeticheskiy,90,93,43.43,77.02,37.4,1.79
190,progreso,0,23,20.25,-99.19,82.88,3.58
191,howard springs,0,94,-12.5,131.05,78.8,1.12
192,totskoye,24,88,52.53,52.75,27.94,11.18
193,manjacaze,0,86,-24.71,33.88,73.34,8.39
194,half moon bay,20,52,37.46,-122.43,67.86,12.75
195,mecca,0,62,21.43,39.83,84.2,0.89
196,visby,0,59,57.64,18.3,35.6,8.05
197,vaini,90,94,-21.2,-175.2,75.2,12.75
198,anju,88,98,31.75,113.2,63.49,7.61
199,araouane,0,18,18.9,-3.53,79.37,5.7
200,katherine,75,83,-14.47,132.26,73.4,3.36
201,dingle,68,93,52.14,-10.27,48.28,10.96
202,cullman,76,39,34.17,-86.84,76.32,6.93
203,burdur,0,70,37.72,30.29,45.7,11.41
204,todos santos,5,21,23.45,-110.23,86.67,19.46
205,verkhnevilyuysk,0,60,63.45,120.31,-2.17,5.14
206,upernavik,0,89,72.79,-56.15,21.01,13.2
207,poykovskiy,12,71,61.23,73.33,5.0,11.18
208,christiana,80,96,-27.91,25.16,59.89,5.37
209,mareeba,75,83,-16.99,145.42,77.0,4.7
210,castro,64,81,-42.48,-73.76,62.59,4.14
211,trinidad,75,74,-14.83,-64.9,82.4,4.7
212,buedu,44,75,8.28,-10.37,76.99,3.69
213,cockburn town,76,100,21.46,-71.14,76.4,10.63
214,menongue,80,93,-14.66,17.68,64.03,3.13
215,chengannur,36,93,9.32,76.61,72.76,2.35
216,torbay,75,59,47.66,-52.73,35.6,12.75
217,cayenne,20,78,4.94,-52.33,82.4,11.41
218,northam,0,64,-31.65,116.67,73.4,12.75
219,troitsko-pechorsk,48,76,62.71,56.19,21.14,6.6
220,perevolotskiy,0,84,51.88,54.19,28.43,10.74
221,thunder bay,90,79,48.41,-89.26,23.0,12.75
222,canals,0,76,38.96,-0.58,53.6,3.36
223,xai-xai,24,100,-25.04,33.64,76.58,9.95
224,nongpoh,24,83,25.9,91.88,57.19,2.46
225,samarai,44,100,-10.62,150.67,81.31,6.04
226,maloy,0,100,61.94,5.11,26.85,9.17
227,sao paulo de olivenca,0,68,-3.38,-68.87,86.98,2.68
228,barkhan,8,78,29.9,69.52,56.83,2.57
229,chokurdakh,8,53,70.62,147.9,0.89,5.14
230,mackenzie,1,28,55.34,-123.09,30.2,14.99
231,new norfolk,75,58,-42.78,147.06,59.0,11.41
232,bukama,12,81,-9.2,25.85,73.25,3.91
233,san ramon,20,62,-13.27,-64.62,87.8,4.7
234,pitimbu,20,83,-7.47,-34.81,78.8,12.75
235,tasiilaq,12,79,65.61,-37.64,21.2,8.05
236,rodniki,90,98,55.65,38.06,34.41,8.95
237,mabaruma,80,83,8.2,-59.78,80.72,8.16
238,aripuana,32,83,-9.17,-60.63,82.61,2.24
239,mandera,44,91,3.94,41.87,74.29,4.59
240,sinnamary,92,100,5.38,-52.96,79.33,7.16
241,tsaratanana,64,76,-16.8,47.65,73.97,7.94
242,jinchang,76,56,38.52,102.19,36.98,3.58
243,hermanus,68,96,-34.42,19.24,63.8,4.7
244,dudinka,36,68,69.41,86.18,-9.42,8.61
245,los llanos de aridane,32,68,28.66,-17.92,66.2,9.17
246,dashitou,92,65,43.3,128.5,34.64,8.16
247,bagn,36,70,60.82,9.55,16.64,2.13
248,dakar,0,93,14.69,-17.45,64.4,9.17
249,hualmay,24,69,-11.1,-77.61,74.33,4.14
250,hamilton,75,73,32.3,-64.78,69.8,4.7
251,mikuni,75,76,36.22,136.15,53.6,5.82
252,salalah,75,78,17.01,54.1,80.6,4.7
253,saint-pierre,75,68,46.77,-56.17,30.2,19.46
254,nambucca heads,8,88,-30.64,152.99,71.6,8.05
255,kichera,64,74,55.93,110.1,6.2,3.91
256,vestmannaeyjar,92,100,63.44,-20.27,35.14,10.96
257,wanning,48,100,18.8,110.4,73.61,3.58
258,bridlington,56,93,54.08,-0.19,45.55,16.11
259,leh,80,89,34.16,77.58,5.66,0.89
260,comodoro rivadavia,0,34,-45.87,-67.48,80.6,33.33
261,usinsk,24,55,66.0,57.56,-0.19,6.04
262,shiyan,0,76,32.65,110.78,53.63,3.58
263,fukue,0,93,35.03,136.69,57.2,3.36
264,ngunguru,0,100,-35.62,174.5,65.78,4.25
265,muncar,0,97,-8.43,114.34,78.74,2.46
266,soe,0,95,-9.86,124.28,64.48,1.68
267,te anau,36,84,-45.41,167.72,47.6,9.17
268,the valley,20,65,18.22,-63.06,80.6,9.17
269,wuwei,0,70,37.93,102.64,27.94,3.13
270,prieska,88,89,-29.67,22.74,62.09,3.69
271,bongaree,40,94,-27.08,153.16,69.8,6.93
272,bethanien,92,79,-26.5,17.16,65.83,7.27
273,tsiroanomandidy,56,97,-18.77,46.05,60.16,2.91
274,fort nelson,75,42,58.81,-122.69,26.6,3.36
275,vanimo,80,100,-2.67,141.3,82.84,10.51
276,ust-ishim,32,91,57.69,71.17,19.43,8.5
277,ilorin,32,76,8.5,4.55,76.99,13.42
278,dhidhdhoo,44,100,6.88,73.1,83.42,3.36
279,lahat,76,96,-3.78,103.55,73.07,3.13
280,birecik,0,50,37.03,37.98,50.0,2.24
281,antofagasta,20,68,-23.65,-70.4,68.0,12.75
282,uige,68,95,-7.61,15.06,68.98,1.79
283,waddan,0,54,29.16,16.14,58.31,6.04
284,beloha,36,81,-25.17,45.06,76.49,14.2
285,ostersund,64,73,63.18,14.64,21.2,9.17
286,winnemucca,1,27,40.97,-117.74,51.8,19.46
287,itanhem,0,45,-17.17,-40.33,84.64,7.27
288,surt,0,100,31.21,16.59,57.73,9.28
289,krasnotorka,92,99,48.68,37.52,46.43,11.97
290,vao,24,100,-22.67,167.48,77.3,20.13
291,tahta,0,30,26.77,31.5,69.8,17.22
292,saldanha,36,82,-33.01,17.94,62.6,3.36
293,kupang,0,100,-10.16,123.6,78.16,1.57
294,lima,64,71,-12.06,-77.04,67.49,2.57
295,dikson,56,86,73.51,80.55,0.13,10.96
296,mezen,92,79,65.85,44.24,30.59,12.3
297,calvinia,32,58,-31.47,19.78,56.96,2.57
298,tortoli,20,81,39.93,9.66,53.6,1.12
299,flin flon,20,32,54.77,-101.88,10.4,8.05
300,tabou,12,97,4.42,-7.36,82.7,13.98
301,molango,0,32,20.79,-98.73,86.98,2.13
302,katerero,80,100,-1.4,31.73,69.34,2.91
303,marawi,0,26,18.48,31.82,62.99,5.26
304,pathein,68,92,16.78,94.73,77.3,3.47
305,sambava,92,100,-14.27,50.17,77.98,10.4
306,leshukonskoye,92,84,64.9,45.76,31.58,12.97
307,calama,0,18,-22.46,-68.93,68.0,20.8
308,khash,0,44,28.22,61.21,50.66,2.68
309,norman wells,75,47,65.28,-126.83,12.2,14.99
310,levelland,20,25,33.59,-102.38,77.0,16.11
311,minuri,80,99,16.54,121.86,69.79,3.02
312,skelleftea,48,50,64.75,20.95,28.4,9.17
313,gamboma,56,96,-1.87,15.88,72.08,5.59
314,lucapa,76,96,-8.42,20.74,67.67,6.15
315,aksu,100,81,41.12,80.26,47.38,3.58
316,vrangel,92,75,42.73,133.08,41.57,14.76
317,nantucket,40,100,41.28,-70.1,37.4,4.7
318,mpongwe,12,70,-13.51,28.16,70.24,9.06
319,atar,0,21,20.52,-13.05,73.7,6.71
320,yerbogachen,68,74,61.28,108.01,11.83,5.14
321,toguchin,80,92,55.24,84.4,24.83,9.84
322,zeya,68,44,53.74,127.27,18.49,11.63
323,alofi,76,94,-19.06,-169.92,78.8,2.24
324,avarua,75,88,-21.21,-159.78,77.0,2.24
325,santa maria,40,68,16.6,-22.9,68.0,14.99
326,mount isa,0,41,-20.73,139.49,77.0,5.82
327,nizhnetroitskiy,32,89,54.34,53.68,27.53,8.95
328,mastic beach,40,65,40.77,-72.85,40.75,12.75
329,belaya gora,12,75,68.54,146.19,12.23,11.63
330,celina,40,70,40.55,-84.57,42.21,9.17
331,namangan,40,71,41.0,71.67,57.2,2.24
332,vasyurinskaya,75,87,45.12,39.42,48.2,13.42
333,shaghat,20,70,39.57,45.91,48.2,11.41
334,erenhot,56,44,43.65,111.97,29.06,9.62
335,saint-francois,90,74,16.25,-61.27,80.6,6.93
336,eseka,80,97,3.65,10.77,73.07,2.46
337,itarema,44,90,-2.92,-39.92,79.73,6.49
338,tikaitnagar,0,59,26.95,81.58,72.8,3.13
339,tilichiki,92,92,60.47,166.1,33.88,13.65
340,port augusta,0,82,-32.49,137.76,59.0,10.29
341,tarumovka,8,81,44.07,46.54,47.15,26.51
342,palmares do sul,75,78,-30.26,-50.51,73.4,5.82
343,nola,0,91,3.52,16.05,73.88,2.24
344,altamira,20,79,-3.2,-52.21,86.0,2.24
345,ushuaia,75,100,-54.81,-68.31,44.6,4.7
346,berlevag,75,86,70.86,29.09,28.49,19.46
347,madera,0,33,29.2,-108.14,67.04,9.51
348,esperance,0,79,-33.86,121.89,60.43,10.85
349,ottawa,90,93,38.62,-95.27,35.6,11.41
350,powell river,40,36,49.84,-124.52,47.64,2.24
351,provideniya,90,100,64.42,-173.23,26.6,2.24
352,geraldton,0,93,-28.77,114.6,64.4,11.74
353,masaka,76,100,-0.34,31.75,69.88,2.91
354,prince george,1,31,53.92,-122.75,33.8,3.36
355,harnoli,92,87,32.28,71.55,64.84,7.83
356,katubao,0,100,5.89,124.83,70.33,2.68
357,gerash,0,40,27.67,54.14,64.4,3.58
358,carnarvon,44,97,-24.87,113.63,78.83,6.15
359,jiayuguan,0,68,39.77,98.29,23.53,1.12
360,alvand,0,86,36.19,50.06,42.43,1.34
361,puerto ayora,20,74,-0.74,-90.35,80.6,12.75
362,east london,88,100,-33.02,27.91,74.56,14.09
363,mogzon,0,57,51.74,111.97,9.17,7.38
364,sohag,32,53,26.55,31.7,67.4,6.93
365,coos bay,75,61,43.37,-124.22,50.0,12.75
366,teguldet,80,85,57.31,88.17,24.88,6.93
367,khomeyn,0,73,33.64,50.08,34.24,2.57
368,pangkalanbuun,24,98,-2.68,111.62,70.91,2.91
369,baft,0,31,29.23,56.61,35.86,3.69
370,merritt,1,29,50.11,-120.79,45.39,13.87
371,tralee,68,97,52.27,-9.7,46.52,6.93
372,tiksi,76,56,71.64,128.87,-5.59,2.8
373,xining,12,77,36.62,101.77,26.9,3.24
374,fortuna,1,62,40.6,-124.16,55.85,14.99
375,mao,0,18,14.12,15.31,74.56,9.62
376,puerto baquerizo moreno,75,74,-0.9,-89.6,82.4,9.17
377,margate,56,90,-30.86,30.37,77.53,14.65
378,arraial do cabo,75,78,-22.97,-42.02,80.65,3.36
379,ugoofaaru,56,98,5.67,73.0,85.36,1.12
380,dutlwe,20,79,-23.98,23.93,63.44,9.62
381,gunjur,0,72,13.18,-16.76,68.0,13.87
382,ligayan,0,100,4.65,119.47,82.25,8.61
383,tangwani,40,61,28.28,69.0,80.6,6.93
384,emilio carranza,0,56,19.97,-96.61,84.23,9.73
385,maningrida,0,84,-12.05,134.23,81.98,4.14
386,gamba,92,100,-2.72,10.02,78.02,2.91
387,emet,0,92,39.34,29.26,31.67,2.57
388,barcelos,88,78,-0.97,-62.93,83.42,8.61
389,huai yot,44,100,7.79,99.63,71.59,1.9
390,tabora,76,97,-5.02,32.81,63.17,3.91
391,kunyang,44,94,27.66,120.56,60.79,1.57
392,tommot,76,62,58.97,126.27,8.27,11.74
393,pahalgam,92,82,34.03,75.33,22.58,1.68
394,martinsicuro,0,81,42.89,13.92,50.0,4.7
395,bambui,32,82,-20.01,-45.98,73.97,5.48
396,caraguatatuba,75,65,-23.62,-45.41,76.08,6.93
397,shu,20,77,43.6,73.76,32.75,7.27
398,buchanan,75,94,5.88,-10.05,78.8,6.71
399,gimli,0,100,50.63,-96.99,9.08,9.73
400,rossland,75,64,49.08,-117.8,39.2,5.82
401,traverse city,90,29,44.76,-85.62,35.94,10.29
402,walvis bay,92,93,-22.95,14.51,64.4,1.12
403,dauphin,1,51,51.15,-100.04,10.4,8.05
404,byron bay,75,94,-28.65,153.62,71.6,4.7
405,nongan,40,22,44.43,125.17,35.6,8.95
406,tocopilla,0,93,-22.09,-70.2,67.04,5.03
407,fairbanks,1,44,64.84,-147.72,21.22,5.82
408,tayu,12,100,-6.54,111.05,75.73,4.59
409,semirom,24,54,31.41,51.57,37.03,2.35
410,tarabuco,92,98,-19.18,-64.92,53.86,3.36
411,rawson,0,21,-43.3,-65.11,86.84,7.72
412,mersing,20,94,2.43,103.84,77.66,6.38
413,hasaki,75,87,35.73,140.83,54.45,5.82
414,matagami,90,72,49.76,-77.63,15.8,19.46
415,aykhal,12,57,65.95,111.51,-7.08,5.48
416,tairua,24,74,-37.02,175.85,62.41,3.36
417,xiaoyi,0,59,37.15,111.77,45.44,2.68
418,ushtobe,0,63,45.25,77.98,16.64,2.91
419,ichhawar,0,26,23.03,77.02,80.6,2.24
420,bosaso,88,100,11.28,49.18,78.43,3.58
421,sisimiut,0,87,66.94,-53.67,24.02,2.13
422,tigil,56,90,57.8,158.67,25.55,3.58
423,bilibino,48,86,68.06,166.44,20.96,2.68
424,yellowknife,20,50,62.45,-114.38,5.0,10.29
425,ola,20,92,59.58,151.3,23.0,11.18
426,arrecife,20,77,28.96,-13.55,65.43,5.82
427,raudeberg,0,100,61.99,5.14,27.82,9.17
428,touros,80,81,-5.2,-35.46,82.21,11.86
429,opuwo,88,97,-18.06,13.84,62.9,2.01
430,harstad,0,62,68.8,16.53,22.86,3.36
431,aklavik,40,60,68.22,-135.01,6.48,13.87
432,chifeng,100,85,42.27,118.96,27.58,10.18
433,riberalta,75,59,-11.0,-66.08,91.4,9.17
434,tazovskiy,44,74,67.47,78.7,-2.67,13.76
435,alyangula,0,100,-13.85,136.42,82.97,3.91
436,arman,20,92,59.7,150.17,23.0,11.18
437,demba,80,95,-5.47,22.27,71.72,2.91
438,nampula,0,93,-15.12,39.26,69.16,2.57
439,dunmore east,92,96,52.15,-6.99,47.42,11.52
440,quelimane,12,86,-17.88,36.89,74.74,3.13
441,tibu,24,79,8.64,-72.74,79.69,2.35
442,uray,12,89,60.13,64.8,17.68,4.36
443,omsukchan,88,86,62.53,155.8,25.69,9.62
444,mollendo,0,41,-17.03,-72.02,75.05,3.91
445,morondava,80,82,-20.3,44.28,81.98,5.59
446,tahoua,0,26,14.89,5.26,78.02,8.72
447,havre-saint-pierre,40,68,50.23,-63.6,24.8,23.04
448,high level,75,49,58.52,-117.13,24.8,21.92
449,shimsk,88,96,58.21,30.71,35.86,9.4
450,marion,90,70,38.35,-97.02,42.8,14.99
451,mbandaka,92,94,0.05,18.26,76.99,2.13
452,biri,76,100,12.68,124.36,78.02,8.16
453,quang ngai,0,90,15.12,108.8,57.05,2.57
454,makakilo city,90,83,21.35,-158.09,77.43,13.87
455,moyobamba,92,100,-6.03,-76.97,69.38,2.68
456,college,1,44,64.86,-147.8,21.22,5.82
457,katastarion,0,81,37.83,20.77,51.1,3.36
458,bonney lake,90,53,47.19,-122.17,50.79,9.17
459,nelson bay,75,78,-32.72,152.14,73.4,13.87
460,lixourion,0,100,38.2,20.43,57.86,12.19
461,ecoporanga,56,55,-18.37,-40.83,82.84,5.59
462,seoul,75,72,37.57,126.98,58.59,3.36
463,chamba,92,86,32.56,76.12,52.24,2.35
464,rheda-wiedenbruck,0,50,51.85,8.3,51.35,14.99
465,kavaratti,0,100,10.57,72.64,83.96,7.83
466,erzin,0,60,50.26,95.16,-1.9,2.13
467,pasighat,0,62,28.06,95.33,62.59,2.01
468,pangnirtung,75,55,66.15,-65.72,35.6,23.04
469,lichuan,0,80,30.3,108.94,41.3,0.89
470,hofn,64,100,64.25,-15.21,28.93,11.74
471,toamasina,75,94,-18.17,49.38,75.2,2.68
472,pontianak,8,100,-0.02,109.34,75.77,4.36
473,adrar,40,33,27.87,-0.29,73.4,13.87
474,marand,0,66,38.43,45.77,48.2,4.7
475,nsanje,0,88,-16.92,35.26,73.03,5.59
476,shagonar,48,75,51.54,92.92,5.3,2.01
477,zambezi,80,58,-13.55,23.12,73.88,7.38
478,megion,90,100,61.04,76.11,15.8,11.18
479,pincher creek,1,72,49.49,-113.95,15.8,5.82
480,khandbari,8,72,27.38,87.21,34.19,1.57
481,dunedin,0,69,-45.87,170.5,54.53,15.21
482,guymon,1,15,36.68,-101.48,85.08,16.11
483,finspang,32,58,58.71,15.77,28.78,3.36
484,lahij,36,86,13.06,44.88,68.53,0.0
485,rantepao,32,99,-2.97,119.9,63.71,2.68
486,kjollefjord,75,63,70.95,27.35,30.2,14.99
487,nuuk,20,47,64.17,-51.74,37.4,13.87
488,banda aceh,36,100,5.56,95.32,73.88,1.68
489,eravur,24,100,7.77,81.61,76.4,3.91
490,luganville,88,100,-15.51,167.18,78.79,7.38
491,coaldale,75,72,49.73,-112.62,17.6,6.93
492,lar,0,36,27.66,54.32,64.4,2.68
493,leningradskiy,8,81,69.38,178.42,20.06,3.58
494,nemuro,12,91,43.32,145.57,37.34,22.15
495,porto velho,0,57,-8.75,-63.87,89.09,3.13
496,manzhouli,0,33,49.6,117.43,16.91,18.23
497,puerto castilla,20,62,16.02,-85.97,86.0,11.41
498,chumikan,80,88,54.72,135.31,20.69,5.7
499,roebourne,0,54,-20.77,117.15,81.71,11.41
